id,numero,rep,nom_voie,code_postal,nom_commune
40002_0092_00534,534,,Route de Sault de Navailles,40330,Amou
40002_0078_00101_a,101,a,Chemin de Parrine,40330,Amou
40002_0013_00428,428,,Route de la Chalosse,40330,Amou
40002_0057_00846,846,,Chemin de Lahitte,40330,Amou
40002_0082_00130,130,,Avenue des Peupliers,40330,Amou
40002_0046_00095,95,,Rue Moncade,40330,Amou
40002_0047_00010,10,,Rue des Tourterelles,40330,Amou
40002_0084_00070,70,,Chemin de Pilat,40330,Amou
40002_0069_00579,579,,Chemin de Meynard,40330,Amou
40002_0012_01452,1452,,Chemin de Barrabas,40330,Amou
40002_0078_00101_b,101,b,Chemin de Parrine,40330,Amou
40002_0016_00015,15,,Chemin de Ronde,40330,Amou
40002_0047_00079,79,,Rue des Tourterelles,40330,Amou
40002_0014_00027,27,,Avenue du Chateau,40330,Amou
40002_0054_00672,672,,Avenue des Pyrénées,40330,Amou
40002_0049_00791,791,,Avenue de l'Océan,40330,Amou
40002_0013_00970,970,,Route de la Chalosse,40330,Amou
40002_0013_01675,1675,,Route de la Chalosse,40330,Amou
40002_0145_00032,32,,Allée des Sports,40330,Amou
40002_0052_00150,150,,Rue Panecau,40330,Amou
40002_0024_00089,89,,Route de France,40330,Amou
40002_0054_00066,66,,Avenue des Pyrénées,40330,Amou
40002_0150_00091,91,,Rue de la Técouère,40330,Amou
40002_0052_00160,160,,Rue Panecau,40330,Amou
40002_0052_00149_a,149,a,Rue Panecau,40330,Amou
40002_0093_00020,20,,Place de la Técouère,40330,Amou
40002_0015_00119,119,,Rue du Château Vieux,40330,Amou
40002_0049_00290,290,,Avenue de l'Océan,40330,Amou
40002_0090_00428,428,,Chemin de Pouy,40330,Amou
40002_0145_00301,301,,Allée des Sports,40330,Amou
40002_0049_01214,1214,,Avenue de l'Océan,40330,Amou
40002_0046_00022,22,,Rue Moncade,40330,Amou
40002_0004_00290,290,,Avenue du Béarn,40330,Amou
40002_0111_00099,99,,Allée des Capucines,40330,Amou
40002_0054_00367,367,,Avenue des Pyrénées,40330,Amou
40002_0111_00100,100,,Allée des Capucines,40330,Amou
40002_0015_00099,99,,Rue du Château Vieux,40330,Amou
40002_0054_00824,824,,Avenue des Pyrénées,40330,Amou
40002_0004_00359,359,,Avenue du Béarn,40330,Amou
40002_0125_00705,705,,Chemin Hoursans,40330,Amou
40002_0029_01676,1676,,Route de Bonnegarde,40330,Amou
40002_0004_00481,481,,Avenue du Béarn,40330,Amou
40002_0125_01224,1224,,Chemin Hoursans,40330,Amou
40002_0009_00092_bis,92,bis,Rue de la Bourgade,40330,Amou
