numero,rep,nom_voie,code_postal,nom_commune
57,,Rue des Ecoles,40330,Amou
149,b,Rue Panecau,40330,Amou
162,,Rue des Tourterelles,40330,Amou
30,a,Pl du Capitaine Raymond de Peich,40330,Amou
82,bis,Avenue de l'Océan,40330,Amou
479,,Avenue du Béarn,40330,Amou
109,,Route de Bonnegarde,40330,Amou
151,,Rue Saint- Pierre,40330,Amou
28,,Rue Saint- Pierre,40330,Amou
682,,Avenue des Pyrénées,40330,Amou
31,a,Allée des Eglantines,40330,Amou
78,,Avenue d'Aquitaine,40330,Amou
83,bis,Rue des Fleurs,40330,Amou
13,,Rue des Fleurs,40330,Amou
36,,Avenue du Béarn,40330,Amou
51,,Rue de la Bourgade,40330,Amou
32,,Place de la Poste,40330,Amou
182,,Rue Panecau,40330,Amou
97,,Rue de la Técouère,40330,Amou
612,,Chemin d'Andriou,40330,Amou
2101,,Chemin de Pebarthe,40330,Amou
179,,Allée des Capucines,40330,Amou
121,,Rue des Acacias,40330,Amou
105,,Chemin de Ronde,40330,Amou
66,,Rue du Moulin,40330,Amou
170,,Chemin de Ronde,40330,Amou
215,,Route de Bonnegarde,40330,Amou
506,,Chemin de Gastoun,40330,Amou
534,,Route de Sault de Navailles,40330,Amou
101,a,Chemin de Parrine,40330,Amou
428,,Route de la Chalosse,40330,Amou
846,,Chemin de Lahitte,40330,Amou
130,,Avenue des Peupliers,40330,Amou
95,,Rue Moncade,40330,Amou
10,,Rue des Tourterelles,40330,Amou
70,,Chemin de Pilat,40330,Amou
579,,Chemin de Meynard,40330,Amou
1452,,Chemin de Barrabas,40330,Amou
101,b,Chemin de Parrine,40330,Amou
15,,Chemin de Ronde,40330,Amou
79,,Rue des Tourterelles,40330,Amou
27,,Avenue du Chateau,40330,Amou
672,,Avenue des Pyrénées,40330,Amou
791,,Avenue de l'Océan,40330,Amou
970,,Route de la Chalosse,40330,Amou
1675,,Route de la Chalosse,40330,Amou
32,,Allée des Sports,40330,Amou
150,,Rue Panecau,40330,Amou
89,,Route de France,40330,Amou
66,,Avenue des Pyrénées,40330,Amou
91,,Rue de la Técouère,40330,Amou
160,,Rue Panecau,40330,Amou
149,a,Rue Panecau,40330,Amou
20,,Place de la Técouère,40330,Amou
119,,Rue du Château Vieux,40330,Amou
290,,Avenue de l'Océan,40330,Amou
428,,Chemin de Pouy,40330,Amou
301,,Allée des Sports,40330,Amou
1214,,Avenue de l'Océan,40330,Amou
22,,Rue Moncade,40330,Amou
290,,Avenue du Béarn,40330,Amou
99,,Allée des Capucines,40330,Amou
367,,Avenue des Pyrénées,40330,Amou
100,,Allée des Capucines,40330,Amou
99,,Rue du Château Vieux,40330,Amou
824,,Avenue des Pyrénées,40330,Amou
359,,Avenue du Béarn,40330,Amou
